name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	7	2	0.0
Buchnera aphidicola	9	species	619958	2	2	0.0
Cellvibrio	10	genus	0	1	0	0.0
Cellulomonas gilvus	11	species	3526441	2	2	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Shewanella	22	genus	0	2	0	0.0
Myxococcus fulvus	33	species	10026214	4	0	0.0
Myxococcus xanthus	34	species	9139763	2	0	0.0
Archangium gephyra	48	species	12489432	4	4	0.0
Chondromyces crocatus	52	species	11388132	2	0	0.0
Sorangium cellulosum	56	species	13907952	2	1	0.0
Lysobacter	68	genus	0	1	0	0.0
Hyphomicrobium	81	genus	0	2	0	0.0
Planctopirus limnophila	120	species	5460085	1	0	0.0
Isosphaera pallida	128	species	5529304	5	0	0.0
Spirochaetales	136	order	0	4	0	0.0
Spirochaetaceae	137	family	0	3	0	0.0
Borrelia	138	genus	0	2	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Treponema succinifaciens	167	species	2897425	3	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Azospirillum	191	genus	0	1	0	0.0
Azospirillum brasilense	192	species	13978806	3	2	0.0
Azospirillum lipoferum	193	species	7223069	7	2	2.632e-169
Campylobacter jejuni	197	species	6156435	1	1	0.0
Campylobacter curvus	200	species	1971270	1	1	0.0
Helicobacter pylori	210	species	2044699	3	3	0.0
Achromobacter	222	genus	0	3	0	0.0
Francisella tularensis	263	species	2777166	4	3	0.0
Paracoccus denitrificans	266	species	5236194	3	3	0.0
Thermus aquaticus	271	species	2338641	1	1	0.0
Xanthobacter autotrophicus	280	species	5625098	15	8	0.0
Comamonas	283	genus	0	1	0	0.0
Comamonas testosteroni	285	species	5695231	258	185	2.02568e-05
Pseudomonas	286	genus	0	1258	392	0.0
Pseudomonas aeruginosa	287	species	22457305	451076	442407	0.649424
Burkholderia cepacia	292	species	13365495	28	6	0.0
Pseudomonas fluorescens	294	species	14826544	1306	128	2.63589e-13
Pseudomonas fragi	296	species	5101809	3	1	0.0
Pseudomonas mendocina	300	species	5293211	656	22	1.14979e-40
Pseudomonas putida	303	species	6888188	253	97	0.000142502
Ralstonia solanacearum	305	species	11186335	103	84	0.0
Pseudomonas stutzeri	316	species	7755802	587	91	0.000292782
Pseudomonas syringae	317	species	6129101	44	15	1.07013e-51
Ralstonia pickettii	329	species	6378979	24	9	1.80855e-05
Pseudomonas pseudoalcaligenes	330	species	4691662	88	27	1.64811e-16
Burkholderia glumae	337	species	7333967	4	0	0.0
Xanthomonas	338	genus	0	3	0	0.0
Xanthomonas campestris	339	species	7063896	26	9	1.87503e-149
Xanthomonas translucens	343	species	4638247	4	1	0.0
Xanthomonas citri	346	species	17318955	1	0	0.0
Xanthomonas oryzae	347	species	17545599	2	1	5.64755e-169
Azotobacter	352	genus	0	2	0	0.0
Azotobacter chroococcum	353	species	5192286	582	13	2.23213e-05
Azotobacter vinelandii	354	species	5351632	136	23	6.56709e-107
Rhizobiales	356	order	0	2	0	0.0
Agrobacterium	357	genus	0	1	0	0.0
Bradyrhizobium japonicum	375	species	9215796	1	0	0.0
Bradyrhizobium sp.	376	species	7547693	1	1	0.0
Rhizobium	379	genus	0	1	0	0.0
Mesorhizobium loti	381	species	7539018	5	4	0.0
Sinorhizobium meliloti	382	species	6962835	2	2	0.0
Rhizobium leguminosarum	384	species	7369497	3	1	0.0
Rhizobium phaseoli	396	species	87841097	1	0	0.0
Methylobacterium extorquens	408	species	6163878	6	0	0.0
Methylococcus capsulatus	414	species	3304561	4	4	0.0
Methylomonas	416	genus	0	1	0	0.0
Methylomonas methanica	421	species	5051681	2	1	0.0
Acetobacter pasteurianus	438	species	3216979	2	1	0.0
Gluconobacter oxydans	442	species	3306867	1	0	0.0
Legionella pneumophila	446	species	15688009	5	4	0.0
Legionella hackeliae	449	species	3570857	4	2	0.0
Legionella longbeachae	450	species	4149158	3	1	0.0
Tatlockia micdadei	451	species	3310028	1	0	0.0
